"Time","Latitude","Longitude","Depth_Km","Magnitude"
"42674.47698506944","42.8038","13.1067","10.2","2.9"
"42674.47863553241","42.7263","13.1855","10.1","2.4"
"42674.48214988426","42.8155","13.1508","8.9","3.6"
"42674.48410775463","42.9078","13.1143","9.300000000000001","3"
"42674.4853625","42.8085","13.0762","5.5","2.2"
"42674.48681724537","42.8318","13.1963","10.4","2.6"
"42674.49225092593","42.743","13.2255","10.2","2.6"
"42674.49456296297","42.823","13.1507","10.9","2.2"
"42674.49565798611","42.7567","13.1143","10.3","2.2"
"42674.49686550926","42.8107","13.112","11.1","2.1"
"42674.49943460649","42.8072","13.1162","10.6","2.5"
"42674.49993819444","42.7898","13.1932","11.8","2.5"
"42674.50060775463","42.8082","13.1428","10.3","2.3"
"42674.50130775463","42.7875","13.1092","10.8","2.5"
"42674.5020375","42.8002","13.1133","10.6","2.4"
"42674.50260138889","42.6898","13.1768","14.6","2"
"42674.50642986111","42.8423","13.2422","9.300000000000001","2.1"
"42674.50741886574","42.6973","13.1858","10.6","2.3"
"42674.50846203704","42.9082","13.2175","8.9","2.8"
"42674.51025023148","42.7977","13.1042","10.5","2.6"
"42674.51189108796","42.9433","13.22","8.800000000000001","2.7"
"42674.51294398148","42.9032","13.2095","7.4","3"
"42674.51347326389","42.8245","13.164","10.6","2.7"
"42674.51790208333","43.0412","13.0442","9.1","2.3"
"42674.52121585648","42.8942","13.0128","10.3","2.1"
"42674.52218229166","42.7972","13.1215","10.5","2.8"
"42674.52367164352","43.0308","13.0773","5.7","2.1"
"42674.52409467593","42.7265","13.2012","9.699999999999999","2"
"42674.52547546296","42.7732","13.204","9.4","2.3"
"42674.52749895833","42.8077","13.1092","11","2.5"
"42674.52838553241","42.8035","13.1943","9.1","2.1"
"42674.538659375","42.8772","13.0907","9.6","2.6"
"42674.53997731482","42.6227","13.3028","10.1","2.6"
"42674.54059756944","42.872","13.0622","10","2.3"
"42674.54167974537","42.8233","13.0903","8.9","2.2"
"42674.54344259259","42.9052","13.157","11","2.4"
"42674.54381956018","42.7733","13.0773","10.1","3.3"
"42674.54970127315","42.8902","13.1567","9","2.1"
"42674.55112824074","42.8208","13.0223","10.4","2"
"42674.55224097223","42.7307","13.1597","14.4","2.3"
"42674.55269699074","42.8277","13.0673","10.2","2.8"
"42674.55346226852","42.8673","13.0345","11.1","2.8"
"42674.55802453704","42.6918","13.2707","11.1","3.1"
"42674.55868981482","42.8662","13.2407","8.9","2.4"
"42674.55943078703","42.7983","13.1038","10.4","2.9"
"42674.56062407407","42.9293","13.2568","0.2","2"
"42674.56119143518","42.8008","13.1185","11.6","2.1"
"42674.56267523148","42.9063","13.0612","10.6","2.4"
"42674.56557222222","42.8832","13.1218","15.3","2.1"
"42674.56704710648","42.6753","13.2067","12.3","2.1"
"42674.5701","42.8348","13.0347","10.8","2.1"
"42674.57123368056","43.0618","13.0688","8.9","2.6"
